source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
1637645127018395776,219.78977211974913,0.021020047,8.02864,2.518117,264.1040525731971,0.020032212
5951824121022278144,219.64625138839503,0.026228724,8.336431,2.4648557,262.1701639221161,0.024713613
3757613049856225792,219.33021263059618,0.060230438,12.837447,4.5808744,162.05518399901217,0.0513449
5332606522595645952,215.67527344818546,0.018143972,11.423104,0.28574753,176.45664661730092,0.013777223
2079073928612821760,214.5745030256979,0.04759333,11.908311,3.822524,298.48192590176114,0.0394047
2603090003484152064,214.0379888743159,0.035619885,8.875059,2.8092842,343.3241110018443,0.033781108
5254061535106490112,206.96977507456424,0.04479964,11.859422,3.6814375,161.08527551332452,0.037177417
2441630500517079808,206.35003920573322,0.04744553,11.773832,3.6749277,1.6763504259443918,0.044498958
4752399493622045696,205.42508538452748,0.18571998,18.57293,4.87331,43.77198593477078,0.15466104
823773494718931968,205.31478196510724,0.02237224,5.9611735,1.7223029,152.8329289582321,0.012060928
778947814402602752,203.8875927696954,0.033240344,7.912665,2.104178,166.34205974427476,0.024705522
778947608243864320,203.83234385738783,0.050037432,12.257253,3.8549728,166.35208967877313,0.03400774
625453654702751872,201.40642101948626,0.0296157,8.204091,2.564643,154.89881370110675,0.023957733
6562924609150908416,201.3251983325545,0.023687575,7.739947,2.2399096,323.3912518776402,0.018149199
5955305209191546112,199.6944012807481,0.031152742,9.602153,2.9048986,264.26088738973226,0.027164215
3195919254111315712,199.6910732720413,0.05120331,9.54224,-0.1910038,63.830787524383176,0.036807783
3195919528989223040,199.6080124181338,0.12083028,4.179894,1.0412455,63.80795300602079,0.09761786
3195919254111314816,199.45161859738874,0.069206245,9.775309,2.9896755,63.82965602087436,0.05040204
1934263333784036736,197.95730094675557,0.021990642,9.005235,2.7301593,341.7028254522359,0.0140988575
660597997697274752,196.2619260343735,0.19761291,12.48557,4.038414,134.5586915113887,0.15875146
4468557611977674496,195.85633153170514,0.25345382,5.5392184,1.4856548,271.36591160903725,0.19556189
4468557611984384512,195.5673545594233,0.19638827,3.987364,1.0036926,271.364453818457,0.1420084
660597997696173440,194.14430904826264,0.12283384,11.96628,3.7769175,134.55918967906837,0.1029902
